0	-0.28025	-0.087879	0.013
0.016129	-0.28025	-0.072371	0.052
0.016129	-0.28025	-0.072371	0.052
0.074194	-0.30352	-0.010339	0.235
0.12903	-0.32678	0.051694	0.411
0.19032	-0.32678	0.036185	0.601
0.23548	-0.30352	-0.025847	0.745
0.29032	-0.23373	-0.18093	0.929
0.33871	-0.21047	-0.35152	1
0.39355	-0.14068	-0.5066	1
0.44839	-0.094156	-0.59965	1
0.50645	-0.047632	-0.63066	1
0.55161	0.022154	-0.53761	1
0.60968	0.1152	-0.35152	1
0.66774	0.23151	-0.010339	1
0.71613	0.34782	0.36185	1
0.77097	0.41761	0.57897	1
0.82258	0.44087	0.67202	1
0.87742	0.44087	0.65651	0.938
0.93226	0.41761	0.57897	0.519
0.9871	0.39435	0.50143	0.03
1	NaN	NaN	NaN
