0	-0.053832	0.71477	0.028
0.040541	-0.053832	0.76412	0.317
0.040541	-0.053832	0.76412	0.317
0.094595	-0.053832	0.73122	0.745
0.14865	-0.053832	0.58318	1
0.20541	-0.053832	0.30355	1
0.21081	-0.078506	0.25421	1
0.25405	-0.078506	-0.025421	1
0.31892	-0.10318	-0.3544	1
0.37297	-0.10318	-0.38729	1
0.42703	-0.053832	-0.27215	1
0.48108	0.04486	-0.04187	1
0.54595	0.21757	0.18841	1
0.6	0.34094	0.23776	1
0.65676	0.41496	0.073272	1
0.71351	0.36561	-0.18991	1
0.76486	0.24225	-0.43664	1
0.82432	0.04486	-0.65047	1
0.87838	-0.15253	-0.68337	1
0.93514	-0.25122	-0.60113	0.784
0.98649	-0.27589	-0.50244	0.075
0.9973	-0.25122	-0.46954	0.022
1	NaN	NaN	NaN
